Código universal de punto de suministro,Hora,Consumo,Método de obtención,Tarifa,Precio,hora_cos,hora_sin,Mes,Mes_cos,Mes_sin,Dia,Dia_cos,Dia_sin,Dia_week,Dia_week_cos,Dia_week_sin,finde,Estacion
9,1,0.063,Real,0.16188,0.0102,0.5403,0.84147,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,2,0.061,Real,0.16063,0.0098,-0.41615,0.9093,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,3,0.06,Real,0.15787,0.00947,-0.98999,0.14112,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,4,0.06,Real,0.15715,0.00943,-0.65364,-0.7568,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,5,0.059,Real,0.15225,0.00898,0.28366,-0.95892,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,6,0.059,Real,0.15074,0.00889,0.96017,-0.27942,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,7,0.059,Real,0.15311,0.00903,0.7539,0.65699,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,8,0.057,Real,0.15425,0.00879,-0.1455,0.98936,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,9,0.146,Real,0.15357,0.02242,-0.91113,0.41212,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,10,0.107,Real,0.15234,0.0163,-0.83907,-0.54402,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,11,0.064,Real,0.13779,0.00882,0.00443,-0.99999,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,12,0.062,Real,0.12178,0.00755,0.84385,-0.53657,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,13,0.062,Real,0.12014,0.00745,0.90745,0.42017,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,14,0.062,Real,0.12379,0.00767,0.13674,0.99061,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,15,0.062,Real,0.12122,0.00752,-0.75969,0.65029,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,16,0.063,Real,0.11831,0.00745,-0.95766,-0.2879,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,17,0.063,Real,0.1158,0.0073,-0.27516,-0.9614,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,18,0.063,Real,0.11481,0.00723,0.66032,-0.75099,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,19,0.195,Real,0.12487,0.02435,0.9887,0.14988,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,20,0.227,Real,0.12721,0.02888,0.40808,0.91295,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,21,1.056,Real,0.15397,0.16259,-0.54773,0.83666,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,22,0.449,Real,0.16192,0.0727,-0.99996,-0.00885,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,23,0.515,Real,0.16041,0.08261,-0.53283,-0.84622,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
9,24,0.157,Real,0.15455,0.02426,0.42418,-0.90558,8,-0.1455,0.98936,28,-0.96261,0.27091,5,0.28366,-0.95892,0,2
