Código universal de punto de suministro,Hora,Consumo,Método de obtención,Tarifa,Precio,hora_cos,hora_sin,Mes,Mes_cos,Mes_sin,Dia,Dia_cos,Dia_sin,Dia_week,Dia_week_cos,Dia_week_sin,finde,Estacion
2,1,1.427,Real,0.1514,0.21605,0.5403,0.84147,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,2,0.122,Real,0.14951,0.01824,-0.41615,0.9093,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,3,0.315,Real,0.14667,0.0462,-0.98999,0.14112,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,4,0.13,Real,0.14206,0.01847,-0.65364,-0.7568,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,5,0.23,Real,0.1368,0.03146,0.28366,-0.95892,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,6,0.22,Real,0.14212,0.03127,0.96017,-0.27942,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,7,0.269,Real,0.1466,0.03944,0.7539,0.65699,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,8,0.402,Real,0.1478,0.05942,-0.1455,0.98936,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,9,0.124,Real,0.14647,0.01816,-0.91113,0.41212,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,10,0.175,Real,0.14385,0.02517,-0.83907,-0.54402,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,11,0.602,Real,0.14136,0.0851,0.00443,-0.99999,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,12,1.231,Real,0.13555,0.16686,0.84385,-0.53657,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,13,0.283,Real,0.13155,0.03723,0.90745,0.42017,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,14,0.428,Real,0.1325,0.05671,0.13674,0.99061,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,15,1.847,Real,0.12771,0.23588,-0.75969,0.65029,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,16,0.341,Real,0.11851,0.04041,-0.95766,-0.2879,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
2,17,0.238,Real,0.11817,0.02812,-0.27516,-0.9614,8,-0.1455,0.98936,21,-0.54773,0.83666,5,0.28366,-0.95892,0,2
