Código universal de punto de suministro,Fecha,Hora,Consumo,Método de obtención
0,03-08-2021,1,0.1,R
0,03-08-2021,2,0.073,R
0,03-08-2021,3,0.083,R
0,03-08-2021,4,0.073,R
0,03-08-2021,5,0.073,R
0,03-08-2021,6,0.078,R
0,03-08-2021,7,0.077,R
0,03-08-2021,8,0.076,R
0,03-08-2021,9,0.479,R
0,03-08-2021,10,0.214,R
0,03-08-2021,11,0.2,R
0,03-08-2021,12,0.211,R
0,03-08-2021,13,0.182,R
0,03-08-2021,14,0.228,R
0,03-08-2021,15,0.151,R
0,03-08-2021,16,0.192,R
0,03-08-2021,17,0.194,R
0,03-08-2021,18,0.221,R
0,03-08-2021,19,0.327,R
0,03-08-2021,20,0.341,R
0,03-08-2021,21,0.233,R
0,03-08-2021,22,0.237,R
0,03-08-2021,23,0.274,R
0,03-08-2021,24,0.216,R
0,04-08-2021,1,0.109,R
0,04-08-2021,2,0.079,R
0,04-08-2021,3,0.078,R
0,04-08-2021,4,0.076,R
0,04-08-2021,5,0.076,R
0,04-08-2021,6,0.077,R
0,04-08-2021,7,0.077,R
0,04-08-2021,8,0.075,R
0,04-08-2021,9,0.148,R
0,04-08-2021,10,0.154,R
0,04-08-2021,11,0.258,R
0,04-08-2021,12,0.176,R
0,04-08-2021,13,0.218,R
0,04-08-2021,14,0.209,R
0,04-08-2021,15,0.221,R
0,04-08-2021,16,0.203,R
0,04-08-2021,17,0.205,R
0,04-08-2021,18,0.263,R
0,04-08-2021,19,0.359,R
0,04-08-2021,20,0.362,R
0,04-08-2021,21,0.296,R
0,04-08-2021,22,0.148,R
0,04-08-2021,23,0.278,R
0,04-08-2021,24,0.407,R
0,05-08-2021,1,0.292,R
0,05-08-2021,2,0.402,R
0,05-08-2021,3,0.105,R
0,05-08-2021,4,0.578,R
0,05-08-2021,5,0.078,R
0,05-08-2021,6,0.074,R
0,05-08-2021,7,0.081,R
0,05-08-2021,8,0.074,R
0,05-08-2021,9,0.158,R
0,05-08-2021,10,0.65,R
0,05-08-2021,11,0.206,R
0,05-08-2021,12,0.257,R
0,05-08-2021,13,0.191,R
0,05-08-2021,14,0.23,R
0,05-08-2021,15,0.287,R
0,05-08-2021,16,0.227,R
0,05-08-2021,17,0.218,R
0,05-08-2021,18,0.208,R
0,05-08-2021,19,0.215,R
0,05-08-2021,20,0.077,R
0,05-08-2021,21,0.077,R
0,05-08-2021,22,0.199,R
0,05-08-2021,23,0.318,R
0,05-08-2021,24,0.575,R
0,06-08-2021,1,0.235,R
0,06-08-2021,2,0.084,R
0,06-08-2021,3,0.124,R
0,06-08-2021,4,0.096,R
0,06-08-2021,5,0.083,R
0,06-08-2021,6,0.073,R
0,06-08-2021,7,0.077,R
0,06-08-2021,8,0.08,R
0,06-08-2021,9,0.152,R
0,06-08-2021,10,0.154,R
0,06-08-2021,11,0.257,R
0,06-08-2021,12,0.302,R
0,06-08-2021,13,0.177,R
0,06-08-2021,14,0.22,R
0,06-08-2021,15,0.645,R
0,06-08-2021,16,0.192,R
0,06-08-2021,17,0.162,R
0,06-08-2021,18,0.183,R
0,06-08-2021,19,0.34,R
0,06-08-2021,20,0.376,R
0,06-08-2021,21,0.388,R
0,06-08-2021,22,0.347,R
0,06-08-2021,23,0.337,R
0,06-08-2021,24,0.506,R
0,07-08-2021,1,0.443,R
0,07-08-2021,2,0.268,R
0,07-08-2021,3,0.081,R
0,07-08-2021,4,0.085,R
0,07-08-2021,5,0.072,R
0,07-08-2021,6,0.081,R
0,07-08-2021,7,0.073,R
0,07-08-2021,8,0.081,R
0,07-08-2021,9,0.073,R
0,07-08-2021,10,0.08,R
0,07-08-2021,11,0.167,R
0,07-08-2021,12,0.23,R
0,07-08-2021,13,0.233,R
0,07-08-2021,14,0.234,R
0,07-08-2021,15,0.075,R
0,07-08-2021,16,0.093,R
0,07-08-2021,17,0.092,R
0,07-08-2021,18,0.071,R
0,07-08-2021,19,0.082,R
0,07-08-2021,20,0.072,R
0,07-08-2021,21,0.082,R
0,07-08-2021,22,0.08,R
0,07-08-2021,23,0.245,R
0,07-08-2021,24,0.213,R
0,08-08-2021,1,0.196,R
