,Hora,Consumo,Método de obtención
0,1,0.1,Real
1,2,0.073,Real
2,3,0.083,Real
3,4,0.073,Real
4,5,0.073,Real
5,6,0.078,Real
6,7,0.077,Real
7,8,0.076,Real
8,9,0.479,Real
9,10,0.214,Real
10,11,0.2,Real
11,12,0.211,Real
12,13,0.182,Real
13,14,0.228,Real
14,15,0.151,Real
15,16,0.192,Real
16,17,0.194,Real
17,18,0.221,Real
18,19,0.327,Real
19,20,0.341,Real
20,21,0.233,Real
21,22,0.237,Real
22,23,0.274,Real
23,24,0.216,Real
24,1,0.109,Real
25,2,0.079,Real
26,3,0.078,Real
27,4,0.076,Real
28,5,0.076,Real
29,6,0.077,Real
30,7,0.077,Real
31,8,0.075,Real
32,9,0.148,Real
33,10,0.154,Real
34,11,0.258,Real
35,12,0.176,Real
36,13,0.218,Real
37,14,0.209,Real
38,15,0.221,Real
39,16,0.203,Real
40,17,0.205,Real
41,18,0.263,Real
42,19,0.359,Real
43,20,0.362,Real
44,21,0.296,Real
45,22,0.148,Real
46,23,0.278,Real
47,24,0.407,Real
48,1,0.292,Real
49,2,0.402,Real
50,3,0.105,Real
51,4,0.578,Real
52,5,0.078,Real
53,6,0.074,Real
54,7,0.081,Real
55,8,0.074,Real
56,9,0.158,Real
57,10,0.65,Real
58,11,0.206,Real
59,12,0.257,Real
60,13,0.191,Real
61,14,0.23,Real
62,15,0.287,Real
63,16,0.227,Real
64,17,0.218,Real
65,18,0.208,Real
66,19,0.215,Real
67,20,0.077,Real
68,21,0.077,Real
69,22,0.199,Real
70,23,0.318,Real
71,24,0.575,Real
72,1,0.235,Real
73,2,0.084,Real
74,3,0.124,Real
75,4,0.096,Real
76,5,0.083,Real
77,6,0.073,Real
78,7,0.077,Real
79,8,0.08,Real
80,9,0.152,Real
81,10,0.154,Real
82,11,0.257,Real
83,12,0.302,Real
84,13,0.177,Real
85,14,0.22,Real
86,15,0.645,Real
87,16,0.192,Real
88,17,0.162,Real
89,18,0.183,Real
90,19,0.34,Real
91,20,0.376,Real
92,21,0.388,Real
93,22,0.347,Real
94,23,0.337,Real
95,24,0.506,Real
96,1,0.443,Real
97,2,0.268,Real
98,3,0.081,Real
99,4,0.085,Real
100,5,0.072,Real
101,6,0.081,Real
102,7,0.073,Real
103,8,0.081,Real
104,9,0.073,Real
105,10,0.08,Real
106,11,0.167,Real
107,12,0.23,Real
108,13,0.233,Real
109,14,0.234,Real
110,15,0.075,Real
111,16,0.093,Real
112,17,0.092,Real
113,18,0.071,Real
114,19,0.082,Real
115,20,0.072,Real
116,21,0.082,Real
117,22,0.08,Real
118,23,0.245,Real
119,24,0.213,Real
120,1,0.196,Real
121,2,0.161,Real
122,3,0.107,Real
123,4,0.079,Real
124,5,0.073,Real
125,6,0.082,Real
126,7,0.07,Real
127,8,0.077,Real
128,9,0.083,Real
129,10,0.072,Real
130,11,0.232,Real
131,12,0.228,Real
132,13,0.206,Real
133,14,0.106,Real
134,15,0.076,Real
135,16,0.079,Real
136,17,0.082,Real
137,18,0.073,Real
138,19,0.08,Real
139,20,0.072,Real
140,21,0.08,Real
141,22,0.072,Real
142,23,0.083,Real
143,24,0.106,Real
144,1,0.408,Real
145,2,0.292,Real
146,3,0.365,Real
147,4,0.083,Real
148,5,0.078,Real
149,6,0.069,Real
150,7,0.08,Real
151,8,0.075,Real
152,9,0.148,Real
153,10,0.178,Real
154,11,0.2,Real
155,12,0.17,Real
156,13,0.236,Real
157,14,0.196,Real
158,15,0.234,Real
159,16,0.19,Real
160,17,0.195,Real
161,18,0.325,Real
162,19,0.352,Real
163,20,0.086,Real
164,21,0.119,Real
165,22,0.095,Real
166,23,0.202,Real
167,24,0.272,Real
168,1,0.144,Real
169,2,0.085,Real
170,3,0.074,Real
171,4,0.084,Real
172,5,0.105,Real
173,6,0.089,Real
174,7,0.334,Real
175,8,0.147,Real
176,9,0.166,Real
177,10,0.645,Real
