Fecha,Hora,Precio
2021-08-03,01,"137,15"
2021-08-03,02,"135,93"
2021-08-03,03,"133,54"
2021-08-03,04,"132,84"
2021-08-03,05,"133,92"
2021-08-03,06,"135,30"
2021-08-03,07,"140,00"
2021-08-03,08,"141,29"
2021-08-03,09,"178,06"
2021-08-03,10,"174,31"
2021-08-03,11,"263,26"
2021-08-03,12,"262,41"
2021-08-03,13,"262,81"
2021-08-03,14,"262,47"
2021-08-03,15,"168,15"
2021-08-03,16,"167,15"
2021-08-03,17,"162,26"
2021-08-03,18,"162,48"
2021-08-03,19,"256,18"
2021-08-03,20,"264,75"
2021-08-03,21,"267,14"
2021-08-03,22,"268,37"
2021-08-03,23,"173,52"
2021-08-03,24,"171,52"
2021-08-04,01,"141,70"
2021-08-04,02,"134,59"
2021-08-04,03,"126,92"
2021-08-04,04,"122,53"
2021-08-04,05,"124,21"
2021-08-04,06,"127,74"
2021-08-04,07,"137,93"
2021-08-04,08,"140,58"
2021-08-04,09,"178,89"
2021-08-04,10,"177,05"
2021-08-04,11,"265,75"
2021-08-04,12,"265,07"
2021-08-04,13,"263,28"
2021-08-04,14,"260,16"
2021-08-04,15,"161,24"
2021-08-04,16,"151,84"
2021-08-04,17,"149,33"
2021-08-04,18,"157,41"
2021-08-04,19,"258,98"
2021-08-04,20,"261,89"
2021-08-04,21,"272,24"
2021-08-04,22,"277,92"
2021-08-04,23,"184,60"
2021-08-04,24,"183,80"
2021-08-05,01,"141,92"
2021-08-05,02,"139,16"
2021-08-05,03,"137,13"
2021-08-05,04,"133,71"
2021-08-05,05,"132,74"
2021-08-05,06,"133,02"
2021-08-05,07,"134,46"
2021-08-05,08,"134,02"
2021-08-05,09,"175,57"
2021-08-05,10,"174,27"
2021-08-05,11,"263,23"
2021-08-05,12,"257,69"
2021-08-05,13,"256,14"
2021-08-05,14,"252,76"
2021-08-05,15,"143,56"
2021-08-05,16,"138,32"
2021-08-05,17,"137,84"
2021-08-05,18,"138,20"
2021-08-05,19,"239,80"
2021-08-05,20,"258,93"
2021-08-05,21,"273,74"
2021-08-05,22,"278,28"
2021-08-05,23,"184,95"
2021-08-05,24,"182,14"
2021-08-06,01,"135,42"
2021-08-06,02,"135,31"
2021-08-06,03,"131,65"
2021-08-06,04,"131,43"
2021-08-06,05,"130,83"
2021-08-06,06,"132,94"
2021-08-06,07,"131,97"
2021-08-06,08,"134,38"
2021-08-06,09,"171,01"
2021-08-06,10,"168,59"
2021-08-06,11,"259,02"
2021-08-06,12,"257,87"
2021-08-06,13,"258,65"
2021-08-06,14,"258,09"
2021-08-06,15,"161,65"
2021-08-06,16,"145,41"
2021-08-06,17,"135,72"
2021-08-06,18,"131,12"
2021-08-06,19,"224,78"
2021-08-06,20,"233,78"
2021-08-06,21,"264,05"
2021-08-06,22,"264,81"
2021-08-06,23,"172,10"
2021-08-06,24,"172,04"
2021-08-07,01,"134,76"
2021-08-07,02,"131,14"
2021-08-07,03,"124,52"
2021-08-07,04,"121,80"
2021-08-07,05,"115,77"
2021-08-07,06,"115,08"
2021-08-07,07,"120,60"
2021-08-07,08,"121,29"
2021-08-07,09,"117,89"
2021-08-07,10,"98,76"
2021-08-07,11,"85,65"
2021-08-07,12,"78,84"
2021-08-07,13,"75,99"
2021-08-07,14,"66,86"
2021-08-07,15,"39,47"
2021-08-07,16,"25,07"
2021-08-07,17,"18,65"
2021-08-07,18,"19,90"
2021-08-07,19,"34,20"
2021-08-07,20,"90,00"
2021-08-07,21,"114,79"
2021-08-07,22,"132,27"
2021-08-07,23,"134,85"
2021-08-07,24,"125,94"
2021-08-08,01,"136,52"
2021-08-08,02,"128,00"
2021-08-08,03,"125,67"
2021-08-08,04,"124,44"
2021-08-08,05,"124,45"
2021-08-08,06,"124,18"
2021-08-08,07,"124,09"
2021-08-08,08,"123,66"
2021-08-08,09,"122,72"
2021-08-08,10,"102,21"
2021-08-08,11,"97,42"
2021-08-08,12,"99,85"
2021-08-08,13,"100,36"
2021-08-08,14,"103,66"
2021-08-08,15,"103,01"
2021-08-08,16,"99,80"
2021-08-08,17,"92,69"
2021-08-08,18,"90,25"
2021-08-08,19,"102,42"
2021-08-08,20,"121,02"
2021-08-08,21,"134,58"
2021-08-08,22,"137,25"
2021-08-08,23,"137,85"
2021-08-08,24,"137,59"
2021-08-09,01,"143,63"
2021-08-09,02,"141,11"
2021-08-09,03,"134,89"
2021-08-09,04,"134,28"
2021-08-09,05,"136,69"
2021-08-09,06,"139,73"
2021-08-09,07,"143,95"
2021-08-09,08,"142,80"
2021-08-09,09,"176,06"
2021-08-09,10,"172,98"
2021-08-09,11,"264,01"
2021-08-09,12,"262,35"
2021-08-09,13,"262,54"
2021-08-09,14,"262,54"
2021-08-09,15,"167,33"
2021-08-09,16,"161,18"
2021-08-09,17,"159,50"
2021-08-09,18,"163,68"
2021-08-09,19,"261,25"
2021-08-09,20,"266,27"
2021-08-09,21,"271,75"
2021-08-09,22,"274,44"
2021-08-09,23,"179,87"
2021-08-09,24,"178,19"
2021-08-10,01,"145,99"
2021-08-10,02,"143,98"
2021-08-10,03,"139,04"
2021-08-10,04,"137,89"
2021-08-10,05,"141,62"
2021-08-10,06,"142,99"
2021-08-10,07,"145,30"
2021-08-10,08,"146,30"
2021-08-10,09,"183,84"
2021-08-10,10,"180,50"
2021-08-10,11,"268,91"
2021-08-10,12,"268,22"
2021-08-10,13,"268,04"
2021-08-10,14,"267,17"
2021-08-10,15,"170,02"
2021-08-10,16,"166,40"
2021-08-10,17,"163,94"
2021-08-10,18,"166,35"
2021-08-10,19,"260,77"
2021-08-10,20,"275,18"
2021-08-10,21,"280,14"
2021-08-10,22,"281,80"
2021-08-10,23,"185,87"
2021-08-10,24,"182,49"
2021-08-11,01,"146,11"
2021-08-11,02,"139,41"
2021-08-11,03,"135,04"
2021-08-11,04,"129,60"
2021-08-11,05,"131,01"
2021-08-11,06,"135,92"
2021-08-11,07,"144,88"
2021-08-11,08,"147,62"
2021-08-11,09,"186,03"
2021-08-11,10,"183,14"
2021-08-11,11,"272,03"
2021-08-11,12,"270,67"
2021-08-11,13,"270,89"
2021-08-11,14,"271,18"
2021-08-11,15,"176,42"
2021-08-11,16,"173,75"
2021-08-11,17,"171,98"
2021-08-11,18,"174,02"
2021-08-11,19,"272,66"
2021-08-11,20,"284,92"
2021-08-11,21,"286,48"
2021-08-11,22,"288,95"
2021-08-11,23,"191,70"
2021-08-11,24,"188,53"
2021-08-12,01,"150,51"
2021-08-12,02,"144,74"
2021-08-12,03,"142,87"
2021-08-12,04,"138,07"
2021-08-12,05,"136,40"
2021-08-12,06,"138,35"
2021-08-12,07,"147,31"
2021-08-12,08,"151,26"
2021-08-12,09,"185,54"
2021-08-12,10,"183,56"
2021-08-12,11,"272,65"
2021-08-12,12,"269,90"
2021-08-12,13,"267,75"
2021-08-12,14,"269,12"
2021-08-12,15,"177,34"
2021-08-12,16,"173,27"
2021-08-12,17,"170,34"
2021-08-12,18,"175,41"
2021-08-12,19,"282,80"
2021-08-12,20,"289,75"
2021-08-12,21,"292,96"
2021-08-12,22,"293,93"
2021-08-12,23,"194,49"
2021-08-12,24,"187,23"
2021-08-13,01,"153,59"
2021-08-13,02,"149,46"
2021-08-13,03,"142,09"
2021-08-13,04,"138,71"
2021-08-13,05,"134,30"
2021-08-13,06,"137,74"
2021-08-13,07,"145,94"
2021-08-13,08,"150,23"
2021-08-13,09,"187,86"
2021-08-13,10,"184,37"
2021-08-13,11,"275,30"
2021-08-13,12,"274,78"
2021-08-13,13,"276,81"
2021-08-13,14,"276,87"
2021-08-13,15,"183,50"
2021-08-13,16,"182,62"
2021-08-13,17,"179,40"
2021-08-13,18,"182,52"
2021-08-13,19,"276,50"
2021-08-13,20,"280,47"
2021-08-13,21,"290,51"
2021-08-13,22,"293,55"
2021-08-13,23,"200,20"
