Consumo,Tarifa,hora_cos,hora_sin,Mes_cos,Mes_sin,Dia_cos,Dia_sin,Dia_week_cos,Dia_week_sin
0.0,0.14599,0.5403,0.84147,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.14398,-0.41615,0.9093,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.13904,-0.98999,0.14112,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.13789,-0.65364,-0.7568,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.14162,0.28366,-0.95892,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.14299,0.96017,-0.27942,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.1453,0.7539,0.65699,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.1463,-0.1455,0.98936,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.041,0.18384,-0.91113,0.41212,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.057,0.1805,-0.83907,-0.54402,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.053,0.26891,0.00443,-0.99999,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.063,0.26822,0.84385,-0.53657,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.053,0.26804,0.90745,0.42017,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.033,0.26717,0.13674,0.99061,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.17002,-0.75969,0.65029,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.1664,-0.95766,-0.2879,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.16394,-0.27516,-0.9614,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.16635,0.66032,-0.75099,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.26077,0.9887,0.14988,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.27518,0.40808,0.91295,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.28014,-0.54773,0.83666,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.2818,-0.99996,-0.00885,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.18587,-0.53283,-0.84622,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.18249,0.42418,-0.90558,-0.1455,0.98936,-0.83907,-0.54402,0.5403,0.84147
0.0,0.14611,0.5403,0.84147,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.13941,-0.41615,0.9093,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.13504,-0.98999,0.14112,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.1296,-0.65364,-0.7568,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.13101,0.28366,-0.95892,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.13592,0.96017,-0.27942,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.14488,0.7539,0.65699,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.14762,-0.1455,0.98936,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.024,0.18603,-0.91113,0.41212,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.053,0.18314,-0.83907,-0.54402,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.056,0.27203,0.00443,-0.99999,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.056,0.27067,0.84385,-0.53657,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.061,0.27089,0.90745,0.42017,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.03,0.27118,0.13674,0.99061,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.17642,-0.75969,0.65029,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.17375,-0.95766,-0.2879,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.17198,-0.27516,-0.9614,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.17402,0.66032,-0.75099,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.27266,0.9887,0.14988,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.28492,0.40808,0.91295,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
0.0,0.28648,-0.54773,0.83666,-0.1455,0.98936,0.00443,-0.99999,-0.41615,0.9093
