Código universal de punto de suministro,Hora,Consumo,Método de obtención,Tarifa,Precio,hora_cos,hora_sin,Mes,Mes_cos,Mes_sin,Dia,Dia_cos,Dia_sin,Dia_week,Dia_week_cos,Dia_week_sin,finde,Estacion
3,1,0.0,Real,0.14599,0.0,0.5403,0.84147,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,2,0.0,Real,0.14398,0.0,-0.41615,0.9093,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,3,0.0,Real,0.13904,0.0,-0.98999,0.14112,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,4,0.0,Real,0.13789,0.0,-0.65364,-0.7568,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,5,0.0,Real,0.14162,0.0,0.28366,-0.95892,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,6,0.0,Real,0.14299,0.0,0.96017,-0.27942,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,7,0.0,Real,0.1453,0.0,0.7539,0.65699,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,8,0.0,Real,0.1463,0.0,-0.1455,0.98936,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,9,0.041,Real,0.18384,0.00754,-0.91113,0.41212,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,10,0.057,Real,0.1805,0.01029,-0.83907,-0.54402,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,11,0.053,Real,0.26891,0.01425,0.00443,-0.99999,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,12,0.063,Real,0.26822,0.0169,0.84385,-0.53657,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,13,0.053,Real,0.26804,0.01421,0.90745,0.42017,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,14,0.033,Real,0.26717,0.00882,0.13674,0.99061,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,15,0.0,Real,0.17002,0.0,-0.75969,0.65029,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,16,0.0,Real,0.1664,0.0,-0.95766,-0.2879,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,17,0.0,Real,0.16394,0.0,-0.27516,-0.9614,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,18,0.0,Real,0.16635,0.0,0.66032,-0.75099,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,19,0.0,Real,0.26077,0.0,0.9887,0.14988,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,20,0.0,Real,0.27518,0.0,0.40808,0.91295,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,21,0.0,Real,0.28014,0.0,-0.54773,0.83666,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,22,0.0,Real,0.2818,0.0,-0.99996,-0.00885,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,23,0.0,Real,0.18587,0.0,-0.53283,-0.84622,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,24,0.0,Real,0.18249,0.0,0.42418,-0.90558,8,-0.1455,0.98936,10,-0.83907,-0.54402,1,0.5403,0.84147,1,2
3,1,0.0,Real,0.14611,0.0,0.5403,0.84147,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
3,2,0.0,Real,0.13941,0.0,-0.41615,0.9093,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
3,3,0.0,Real,0.13504,0.0,-0.98999,0.14112,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
3,4,0.0,Real,0.1296,0.0,-0.65364,-0.7568,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
3,5,0.0,Real,0.13101,0.0,0.28366,-0.95892,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
3,6,0.0,Real,0.13592,0.0,0.96017,-0.27942,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
3,7,0.0,Real,0.14488,0.0,0.7539,0.65699,8,-0.1455,0.98936,11,0.00443,-0.99999,2,-0.41615,0.9093,1,2
